,species,lat,long
267,Petersianthus macrocarpus (P.Beauv.) Liben,7.691275,-5.037923
268,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.39873,-9.24649
269,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.4013,-9.31106
270,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.40245,-9.31028
271,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.33177,-9.21413
272,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.3403,-9.20356
273,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.38535,-9.29936
276,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.33169,-9.2146
277,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,8.39503,-9.24617
278,Petersianthus macrocarpus (P.Beauv.) Liben,4.928,9.999
290,Petersianthus macrocarpus (P.Beauv.) Liben,4.927,10
307,Petersianthus macrocarpus (P.Beauv.) Liben,3.321931,13.648409
309,Petersianthus macrocarpus (P.Beauv.) Liben,-5.621249,13.103083
310,Petersianthus macrocarpus (P.Beauv.) Liben,-5.632416,13.099416
311,Petersianthus macrocarpus (P.Beauv.) Liben,-5.607555,13.126916
312,Petersianthus macrocarpus (P.Beauv.) Liben,-5.608138,13.127527
313,Petersianthus macrocarpus (P.Beauv.) Liben,-5.607972,13.127388
319,Petersianthus macrocarpus (P.Beauv.) Liben,-6.61528,16.20333
320,Petersianthus macrocarpus (P.Beauv.) Liben,-5.608064,13.127503
322,Petersianthus macrocarpus (P.Beauv.) Liben,-5.607797,13.127239
323,Petersianthus macrocarpus (P.Beauv.) Liben,-5.607506,13.126692
325,Petersianthus macrocarpus (P.Beauv.) Liben,-5.632242,13.099192
326,Petersianthus macrocarpus (P.Beauv.) Liben,-5.621125,13.103058
327,Petersianthus macrocarpus (P.Beauv.) Liben,-2.31943,11.2255
328,Petersianthus macrocarpus (P.Beauv.) Liben,-2.36019,11.30781
329,Petersianthus macrocarpus (P.Beauv.) Liben,-2.35634,11.31002
330,Petersianthus macrocarpus (P.Beauv.) Liben,-2.49024,11.2543
331,Petersianthus macrocarpus (P.Beauv.) Liben,-2.3333,11.28383
332,Petersianthus macrocarpus (P.Beauv.) Liben,5.393284,-4.052228
333,Petersianthus macrocarpus (P.Beauv.) Liben,5.220203,13.447593
335,Petersianthus macrocarpus (P.Beauv.) Liben,5.220313,13.403183
337,Petersianthus macrocarpus (P.Beauv.) Liben,3.0623,13.581876
339,Petersianthus macrocarpus (P.Beauv.) Liben,6.744828,-3.006151
340,Petersianthus macrocarpus (P.Beauv.) Liben,6.361969,-2.482832
342,Petersianthus macrocarpus (P.Beauv.) Liben,7.162445,-2.556445
343,Petersianthus macrocarpus (P.Beauv.) Liben,0.636249,25.257083
344,Petersianthus macrocarpus (P.Beauv.) Liben,8.245244,-1.655978
345,Petersianthus macrocarpus (P.Beauv.) Liben,0.795944,24.494297
346,Petersianthus macrocarpus (P.Beauv.) Liben,0.765966,24.511277
349,Petersianthus macrocarpus (P.Beauv.) Liben,0.814425,24.485552
350,Petersianthus macrocarpus (P.Beauv.) Liben,0.869177,24.470186
353,Petersianthus macrocarpus (P.Beauv.) Liben,7.137009,-2.243002
357,Petersianthus macrocarpus (P.Beauv.) Liben,5.317087,-1.854438
358,Petersianthus macrocarpus (P.Beauv.) Liben,4.353028,10.41275
359,Petersianthus macrocarpus (P.Beauv.) Liben,5.8544,-0.178
360,Petersianthus macrocarpus (P.Beauv.) Liben,6.683,-4.15
361,Petersianthus macrocarpus (P.Beauv.) Liben,-1.850556,18.168333
362,Petersianthus macrocarpus (P.Beauv.) Liben,-2.182222,18.287222
363,Petersianthus macrocarpus (P.Beauv.) Liben,-2.182222,18.288333
368,Petersianthus macrocarpus (P.Beauv.) Liben,0.417778,9.34
373,Petersianthus macrocarpus (P.Beauv.) Liben,-4.766667,14.3
374,Petersianthus macrocarpus (P.Beauv.) Liben,2.174167,12.062778
375,Petersianthus macrocarpus (P.Beauv.) Liben,2.171389,12.062222
378,Petersianthus macrocarpus (P.Beauv.) Liben,-1.4561,13.2243
379,Petersianthus macrocarpus (P.Beauv.) Liben,2.63374,14.14073
382,Petersianthus macrocarpus (P.Beauv.) Liben,0.799228,24.491947
383,Petersianthus macrocarpus (P.Beauv.) Liben,0.79659,24.497792
384,Petersianthus macrocarpus (P.Beauv.) Liben,0.780441,24.521086
385,Petersianthus macrocarpus (P.Beauv.) Liben,0.789403,24.517549
386,Petersianthus macrocarpus (P.Beauv.) Liben,0.795914,24.494231
387,Petersianthus macrocarpus (P.Beauv.) Liben,0.793108,24.490133
388,Petersianthus macrocarpus (P.Beauv.) Liben,0.813549,24.512639
389,Petersianthus macrocarpus (P.Beauv.) Liben,0.7805,24.521094
390,Petersianthus macrocarpus (P.Beauv.) Liben,0.786618,24.523486
391,Petersianthus macrocarpus (P.Beauv.) Liben,0.814033,24.493697
392,Petersianthus macrocarpus (P.Beauv.) Liben,0.802561,24.487503
393,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.705833,-8.340833
394,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.661667,-8.381111
395,Petersianthus macrocarpus (P.Beauv.) Liben,-1.59192,13.2806
396,Petersianthus macrocarpus (P.Beauv.) Liben,-1.60257,13.25778
397,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.70583,-8.34083
399,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.705806,-8.340944
403,Petersianthus macrocarpus (P.Beauv.) Liben,0.90459,13.10787
404,Petersianthus macrocarpus (P.Beauv.) Liben,0.587999,24.934888
405,Petersianthus macrocarpus (P.Beauv.) Liben,-2.287499,14.512222
406,Petersianthus macrocarpus (P.Beauv.) Liben,2.116055,27.522111
408,Petersianthus macrocarpus (P.Beauv.) Liben,2.116056,27.522111
409,Petersianthus macrocarpus (P.Beauv.) Liben,-1.63947,10.86085
