"","species","lat","long"
"285","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.40995,7.20313
"286","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.41005,7.20612
"287","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.41081,7.20254
"288","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.41252,7.19989
"289","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.972877,2.18683
"290","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975474,2.186366
"291","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.981253,2.188886
"292","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.984012,2.189015
"293","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.97276,2.188249
"294","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.975391,2.188485
"295","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.978364,2.188636
"296","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.034139,5.693401
"297","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.408243,5.891822
"298","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.84911,8.44922
"299","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.881437,8.493938
"300","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.960195,8.386564
"301","Holarrhena floribunda (G.Don) T.Durand & Schinz",4.985292,8.39725
"302","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.964218,2.183309
"303","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.982106,2.186756
"304","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.981347,2.18757
"305","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.984189,2.189352
"306","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.984157,2.188812
"307","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.983968,2.186475
"308","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.984031,2.186872
"309","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.984058,2.189008
"310","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.983868,2.188927
"311","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.983858,2.1895
"312","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.983779,2.189252
"313","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.983985,2.186177
"314","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.981586,2.186887
"315","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.431741,5.890406
"316","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.05595,5.704481
"317","Holarrhena floribunda (G.Don) T.Durand & Schinz",5.020028,8.442311
"318","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.972789,2.191362
"319","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.973079,2.191345
"320","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.973246,2.191515
